year,yday,hour,datetime,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,do,do2_sat,k,series,unique_series,series_length,unique_day,index
2010,226,1,2010-08-14T05:00:00Z,24.794761904761906,1e-5,1.2,5.310534184885166,7.760105486554373,1.0202825224113692,5.355650534840232e-6,7.946326530612245,1.0239972310145178,0.009416914601127757,1,4,1918,296,7071
2010,226,2,2010-08-14T06:00:00Z,24.746190476190478,1e-5,1.1,5.343976836626081,7.76524663616928,1.0196070222833038,5.337308613054879e-6,7.963469387755103,1.0255269099454656,0.009034495302373841,1,4,1918,296,7072
2010,226,3,2010-08-14T07:00:00Z,24.70761904761905,1e-5,1.8,5.382604168167847,7.772331316792934,1.0199642394131871,5.316240815962892e-6,7.957755102040817,1.0238569069806964,0.011134323397350406,1,4,1918,296,7073
2010,226,4,2010-08-14T08:00:00Z,24.66761904761905,1e-5,1.8,5.379494862032814,7.783017588357184,1.0095698629480467,5.3179320179500185e-6,7.9334693877551015,1.0193307798279914,0.011130382376610124,1,4,1918,296,7074
2010,226,5,2010-08-14T09:00:00Z,24.63047619047619,0.027857142857142858,2.1,5.35202005295276,7.792173441460872,1.0058169339889116,0.014855967399643295,7.889183673469388,1.012449701323682,0.012112644864179891,1,4,1918,296,7075
2010,226,6,2010-08-14T10:00:00Z,24.581904761904763,11.827142857142857,2.1,5.351314989713772,7.80262754049705,1.0095958007881765,6.307766096239896,7.906326530612246,1.0132902653083182,0.012100531657238608,1,4,1918,296,7076
2010,226,7,2010-08-14T11:00:00Z,24.561904761904763,79.43842857142857,1.4,5.381844241098342,7.807801501536325,1.0089267764363579,42.234664518338604,7.894897959183673,1.0111550553161746,0.009860623919925628,1,4,1918,296,7077
2010,226,8,2010-08-14T12:00:00Z,24.561904761904763,279.45,1.7,5.417271947695163,7.808931990557237,1.0075001305573648,148.03694246710916,7.897755102040817,1.0113745530875395,0.010718206083993721,1,4,1918,296,7078
2010,226,9,2010-08-14T13:00:00Z,24.57761904761905,760.1885714285714,1.7,5.442084152701738,7.809656019301866,1.006126259668785,401.68702376871096,7.912040816326531,1.0131100264559179,0.010673248784693529,1,4,1918,296,7079
2010,226,10,2010-08-14T14:00:00Z,24.70047619047619,1172.4557142857143,2.9,5.443994720432829,7.791035996958626,1.026500198833887,619.4101363166822,7.963469387755103,1.022132280079798,0.014382137800297418,1,4,1918,296,7080
2010,226,11,2010-08-14T15:00:00Z,24.87761904761905,1123.2385714285715,2.3,5.443829289688124,7.767649134781853,1.029590788825531,593.4186542968386,8.009183673469389,1.0310949341939244,0.012593317871931287,1,4,1918,296,7081
2010,226,12,2010-08-14T16:00:00Z,25.100476190476193,1239.172857142857,2.8,5.442333992460626,7.73559694715119,1.032564138820803,654.7677705268362,7.974897959183673,1.0309350414282652,0.014211188733653995,1,4,1918,296,7082
2010,226,13,2010-08-14T17:00:00Z,25.14619047619048,1424.8728571428571,2.3,5.449919195903941,7.72830414051516,1.0283627372188575,752.3079893011125,7.9163265306122454,1.0243290619362908,0.01265799887430525,1,4,1918,296,7083
2010,226,14,2010-08-14T18:00:00Z,25.409047619047623,1552.2857142857142,2.3,5.441564966176402,7.69122302188052,1.0320205222782974,820.2781050416243,7.9077551020408166,1.0281531402150594,0.012754967418580274,1,4,1918,296,7084
2010,226,15,2010-08-14T19:00:00Z,25.711904761904762,1394.757142857143,2.8,5.466804130640564,7.646608635278215,1.0328108023685532,735.1416634556809,7.873469387755103,1.029668152680163,0.01434951606057453,1,4,1918,296,7085
2010,226,16,2010-08-14T20:00:00Z,25.79761904761905,1148.9142857142858,3.6,5.472335245051471,7.633105346689384,1.0385681370738975,605.2230735083291,7.882040816326532,1.0326126076256914,0.016868420494124643,1,4,1918,296,7086
2010,226,17,2010-08-14T21:00:00Z,25.78761904761905,858.8471428571429,3.7,5.468074535972209,7.634137174561334,1.0462871988488955,452.61832379057194,7.959183673469388,1.0425780270219904,0.017190949708240706,1,4,1918,296,7087
2010,226,18,2010-08-14T22:00:00Z,25.39619047619048,487.9057142857143,3.2,5.470132299476885,7.689702621369582,1.0478298572441949,257.0757794439872,8.034897959183674,1.044890596530326,0.015477695231574084,1,4,1918,296,7088
2010,226,19,2010-08-14T23:00:00Z,25.114761904761906,189.06185714285715,2.9,5.4746433447257905,7.728696020163291,1.0464249051716654,99.57027798000155,8.089183673469389,1.0466427522010993,0.014440079875521393,1,4,1918,296,7089
2010,226,20,2010-08-15T00:00:00Z,25.00761904761905,29.573857142857143,2.8,5.4742765306969,7.7418169749638475,1.04335972112512,15.575786572967685,8.082040816326531,1.0439462522122298,0.014097822264035064,1,4,1918,296,7090
2010,226,21,2010-08-15T01:00:00Z,25.043333333333337,1e-5,2.6,5.470304934257823,7.736690640231942,1.0440510517501886,5.268871692375654e-6,8.07918367346939,1.0442686736699063,0.013504157515630734,1,4,1918,296,7091
2010,226,22,2010-08-15T02:00:00Z,24.974761904761905,1e-5,2.8,5.475818114418976,7.74504138685468,1.039051904055499,5.265915246977781e-6,8.023469387755103,1.0359491947161168,0.014083094862016261,1,4,1918,296,7092
2010,226,23,2010-08-15T03:00:00Z,25.044761904761906,1e-5,3.8,5.478210066801477,7.737607188490323,1.0193719851445344,5.264633342208568e-6,7.947755102040816,1.027159289484621,0.01717358527929416,1,4,1918,296,7093
