year,yday,hour,datetime,do,wtemp,par,wspeed,z,do_eq,o2_sat,par_int,k,series,unique_series,series_length,unique_day,index
2009,164,23,2009-06-14T03:00:00Z,10.513333333333334,15.061865079365077,0,1.8,10.085890108812517,9.497305035388884,1.1069806954876698,1e-5,0.005480327025041087,1,3,1313,160,3826
2009,164,24,2009-06-14T04:00:00Z,10.513333333333334,14.947579365079363,0,1.1,10.03631312471189,9.519303887343394,1.1044224932572615,1e-5,0.004263476629204086,1,3,1313,160,3827
2009,165,1,2009-06-14T05:00:00Z,10.533333333333333,14.76329365079365,0,1.1,10.009638856191323,9.560488084141525,1.1017568601759482,1e-5,0.004253991161543742,1,3,1313,161,3828
2009,165,2,2009-06-14T06:00:00Z,10.573333333333334,14.641865079365077,0,2.3,10.013636296301707,9.585604848964875,1.1030428960854903,1e-5,0.006330221615154384,1,3,1313,161,3829
2009,165,3,2009-06-14T07:00:00Z,10.583333333333334,14.579007936507935,0,1.7,10.036409669809622,9.598701547687092,1.1025796854662597,1e-5,0.005263609340091949,1,3,1313,161,3830
2009,165,4,2009-06-14T08:00:00Z,10.583333333333334,14.517579365079364,0,1.3,10.06776284625722,9.615801110917403,1.1006189927657128,1e-5,0.004547473549345535,1,3,1313,161,3831
2009,165,5,2009-06-14T09:00:00Z,10.583333333333334,14.451865079365078,2.8,1.7,10.100078556163053,9.632161168234688,1.0987496106518087,0.9759727932945507,0.00521275134895155,1,3,1313,161,3832
2009,165,6,2009-06-14T10:00:00Z,10.573333333333334,14.449007936507934,146.2,1.3,10.102552641555109,9.636265922472894,1.0972438305874364,50.94972030412131,0.004523543879583894,1,3,1313,161,3833
2009,165,7,2009-06-14T11:00:00Z,10.553333333333333,14.519007936507935,250.1,1.1,10.07530166827198,9.62558692250466,1.0963833601314843,87.34694391686924,0.004198903597196524,1,3,1313,161,3834
2009,165,8,2009-06-14T12:00:00Z,10.503333333333334,14.731865079365079,825.1,2.8,9.936790619537076,9.583805398228186,1.0959460148549287,291.36505094002933,0.007274807339276423,1,3,1313,161,3835
2009,165,9,2009-06-14T13:00:00Z,10.503333333333334,15.039007936507934,1185.6,3.1,9.896538393147438,9.518902964403848,1.1034184687679647,420.0197336393063,0.007898831275701838,1,3,1313,161,3836
2009,165,10,2009-06-14T14:00:00Z,10.483333333333334,15.610436507936507,712.2,2.3,9.893637204135294,9.400806323225789,1.1151525702037959,252.36814811818525,0.006573226596633366,1,3,1313,161,3837
2009,165,11,2009-06-14T15:00:00Z,10.413333333333334,15.799007936507934,1150.4,3.8,9.888044025525986,9.362422528443124,1.1122477437540907,407.82733819728287,0.009339523778837197,1,3,1313,161,3838
2009,165,12,2009-06-14T16:00:00Z,10.463333333333333,15.667579365079362,1801.3,4.1,9.899291554561675,9.388818881809904,1.1144461795514253,638.0014382502943,0.0098402618148242,1,3,1313,161,3839
2009,165,13,2009-06-14T17:00:00Z,10.443333333333333,16.491865079365077,1516.8,5.9,9.916311295545308,9.224259923183764,1.132159481660487,536.5020960513867,0.013363578944828933,1,3,1313,161,3840
2009,165,14,2009-06-14T18:00:00Z,10.383333333333333,16.500436507936506,2063.6,5.6,9.936674035266336,9.220321130958213,1.1261357588154042,728.7195848926679,0.012785807972770088,1,3,1313,161,3841
2009,165,15,2009-06-14T19:00:00Z,10.433333333333334,16.136150793650792,1761.1,6.1,9.926397826987266,9.28887368155025,1.1232075804902195,622.4095279489017,0.013592591918848795,1,3,1313,161,3842
2009,165,16,2009-06-14T20:00:00Z,10.433333333333334,16.089007936507933,1161.1,6.1,9.944473439030537,9.295764315088734,1.122374984959345,409.763717281214,0.013551180666778719,1,3,1313,161,3843
2009,165,17,2009-06-14T21:00:00Z,10.473333333333333,15.931865079365078,1133.4,6.9,9.944308385460003,9.327398696199957,1.1228568301256638,399.9933941144126,0.014948572121198512,1,3,1313,161,3844
2009,165,18,2009-06-14T22:00:00Z,10.473333333333333,15.97329365079365,797.2,7.9,9.92740490136864,9.318197973261585,1.12396553103791,281.7244123772616,0.016811309609678908,1,3,1313,161,3845
2009,165,19,2009-06-14T23:00:00Z,10.403333333333334,16.207579365079365,447.8,6.9,9.92460452228924,9.275237117799131,1.1216245149538433,158.2846046237787,0.015086617144574588,1,3,1313,161,3846
