datetime,year,yday,hour,do,wtemp,par,par_sp,wspeed,z,do_eq,o2_sat,par_int
2012-07-31T12:00:00Z,2012,213,13,8.059999999999999,24.752561475409834,1359.1,1676.0622950819672,3.5,8.290536699717128,7.835640170653842,1.0286332481405198,476.2951105864559
2012-07-31T13:00:00Z,2012,213,14,8.069999999999999,24.902233606557377,1482.8,1593.3295081967212,3.1,8.28975983423332,7.810373949026511,1.0332411805974857,519.6845427467927
2012-07-31T14:00:00Z,2012,213,15,8.079999999999998,25.008299180327867,1326,1528.9344262295083,3.5,8.197575317190612,7.794778452277042,1.0365913604176442,468.8891456170924
2012-07-31T15:00:00Z,2012,213,16,8.079999999999998,25.109938524590163,1173.2,1206.5409836065573,2.6,8.182584394593931,7.778660053139145,1.0387393130439277,415.46086835136924
2012-07-31T16:00:00Z,2012,213,17,8.09,25.12813524590164,807.2,862.6295081967213,3.3,8.16470823341257,7.773987353300851,1.0406500078193426,286.3472133171435
2012-07-31T17:00:00Z,2012,213,18,8.11,25.03829918032787,542.2,558.2180327868853,4.6,8.16114226589383,7.787174455641086,1.0414560565193267,192.40740472417295
2012-07-31T18:00:00Z,2012,213,19,8.12,24.883545081967213,160.4,217.63934426229508,3.9,8.167519985881102,7.810516926381547,1.0396238912911273,56.884973272061146
2012-07-31T19:00:00Z,2012,213,20,8.12,24.77698770491803,47.3,52.02104918032787,2.6,8.169061193110762,7.826186205566261,1.0375423976271825,16.77217281853049
2012-07-31T20:00:00Z,2012,213,21,8.11,24.69813524590164,0.6,1.558236842105263,2.5,8.187667644156743,7.837188516888658,1.0348098661303666,0.21237096807079667
2012-07-31T21:00:00Z,2012,213,22,8.11,24.635184426229507,0.6,0.126,1,8.20547889187797,7.844030601698905,1.0339072361909818,0.2120045851098257
2012-07-31T22:00:00Z,2012,213,23,8.069999999999999,24.57715163934426,0.6,0.1386,1.3,8.206457492198785,7.851579279594348,1.0278186989684113,0.21198448548048146
2012-07-31T23:00:00Z,2012,213,24,8.059999999999999,24.528299180327867,0.5,0.126,1.7,8.21115918171518,7.857965413234107,1.025710801224148,0.1765733007777772
2012-08-01T00:00:00Z,2012,214,1,8.04,24.485020491803276,0.5,0.14175,1.2,8.228343017698059,7.866693722456001,1.0220303832408377,0.1747562130896427
2012-08-01T01:00:00Z,2012,214,2,8.03,24.44108606557377,0.5,0.133875,0.9,8.26237175954297,7.874473682555184,1.019750693660881,0.17417954943894834
2012-08-01T02:00:00Z,2012,214,3,8.04,24.39665983606557,0.7,0.14175,1.4,8.287253664370558,7.878974287680631,1.0204373953309054,0.24326385958626306
